State,Latitude,Longitude,Total reported direct emissions
TN,35.64,-85.87,27373.596
PA,40.67,-76.38,221.508
SC,35.08,-81.58,193066.612
GA,31.48,-81.99,67415.25
NY,40.70,-73.98,979415.92
FL,28.58,-82.43,785254.734
TN,35.54,-89.20,202846.223
TX,25.94,-97.40,118640
PA,40.10,-76.70,2280196.928
PA,40.46,-80.04,17458.984
GA,31.17,-81.52,414341.796
VA,36.77,-77.71,3293008.048
CO,40.24,-103.63,90251.26
VA,37.21,-81.92,1335979.25
VA,37.22,-82.02,33907.472
VA,37.18,-81.96,204734.767
NC,35.71,-80.38,1762785.02
TX,27.82,-97.50,91966.558
PA,40.96,-76.88,30243.13
ME,44.58,-68.81,55411.2
KY,38.22,-84.87,56225.688
TN,36.02,-84.16,911636.215
